CustomerID,JoinDate,City,CustomerType
C1063,2024-04-29,Giza,New
C1064,2023-04-10,Giza,Returning
C1065,2024-02-25,Giza,Returning
C1066,2023-02-25,Cairo,New
C1067,2023-12-14,Cairo,New
C1068,2023-07-14,Giza,New
C1069,2023-07-07,Giza,Returning
C1070,2023-03-19,Giza,Returning
C1071,2024-07-17,Cairo,New
C1072,2024-07-07,Cairo,Returning
C1073,2023-08-31,Cairo,Returning
C1074,2024-05-07,Cairo,Returning
C1075,2023-03-02,Cairo,Returning
C1076,2024-02-04,Giza,Returning
C1077,2024-04-10,Giza,Returning
C1078,2024-07-23,Giza,New
C1079,2023-10-31,Cairo,Returning
C1080,2024-08-16,Cairo,Returning
C1081,2023-02-28,Cairo,Returning
C1082,2024-05-29,Cairo,New
C1083,2024-06-04,Cairo,Returning
C1084,2023-03-12,Cairo,Returning
C1085,2023-08-29,Giza,New
C1086,2024-08-06,Cairo,Returning
C1087,2023-02-10,Cairo,Returning
C1088,2024-08-20,Giza,Returning
C1089,2023-07-29,Giza,New
C1090,2024-02-10,Cairo,Returning
C1091,2023-11-04,Giza,New
C1092,2023-03-16,Cairo,Returning
C1093,2024-07-30,Cairo,New
C1094,2023-08-07,Giza,New
C1095,2023-12-24,Cairo,Returning
C1096,2024-01-14,Giza,New
C1097,2024-07-10,Giza,Returning
C1098,2024-10-31,Cairo,Returning
C1099,2024-07-21,Giza,Returning
C1100,2023-04-17,Cairo,New
C1101,2023-04-20,Cairo,New
C1102,2024-09-11,Cairo,Returning
C1103,2023-07-28,Giza,Returning
C1104,2023-09-15,Cairo,New
C1105,2024-03-09,Giza,New
C1106,2023-12-08,Cairo,Returning
C1107,2023-09-26,Cairo,Returning
C1108,2024-07-18,Giza,Returning
C1109,2023-04-25,Cairo,Returning
C1110,2023-06-02,Cairo,Returning
C1111,2024-08-19,Cairo,Returning
C1112,2023-02-12,Giza,Returning
C1113,2023-02-10,Giza,New
C1114,2023-09-13,Cairo,Returning
C1115,2024-07-27,Giza,Returning
C1116,2023-06-08,Cairo,Returning
C1117,2023-07-01,Giza,New
C1118,2023-12-07,Giza,Returning
C1119,2023-09-12,Giza,New
C1120,2023-04-21,Giza,Returning
C1121,2024-04-26,Cairo,New
C1122,2024-04-16,Giza,New
C1123,2023-08-22,Cairo,New
C1124,2023-07-17,Giza,New
C1125,2023-03-13,Giza,Returning
C1126,2024-06-05,Giza,Returning
C1127,2024-07-03,Giza,Returning
C1128,2023-04-29,Giza,New
C1129,2023-09-29,Cairo,New
C1130,2024-03-20,Giza,Returning
C1131,2023-11-18,Giza,Returning
C1132,2024-06-07,Cairo,Returning
C1133,2024-08-13,Cairo,New
C1134,2024-03-22,Cairo,Returning
C1135,2024-07-05,Cairo,Returning
C1136,2023-03-13,Giza,Returning
C1137,2024-11-10,Cairo,Returning
C1138,2023-11-04,Giza,Returning
C1139,2023-12-01,Giza,Returning
C1140,2024-07-21,Cairo,New
C1141,2024-11-11,Giza,Returning
C1142,2023-06-28,Giza,Returning
C1143,2023-01-01,Giza,New
C1144,2024-03-16,Giza,Returning
C1145,2024-03-28,Cairo,Returning
C1146,2023-06-23,Cairo,New
C1147,2024-11-10,Giza,New
C1148,2023-08-29,Giza,New
C1149,2023-07-23,Cairo,New
C1150,2023-09-08,Giza,Returning
C1151,2023-03-16,Giza,Returning
C1152,2024-10-06,Cairo,Returning
C1153,2024-01-29,Giza,Returning
C1154,2023-06-01,Cairo,Returning
C1155,2023-04-20,Giza,New
C1156,2024-06-14,Giza,New
C1157,2023-09-13,Cairo,Returning
C1158,2024-04-20,Giza,Returning
C1159,2024-03-29,Giza,Returning
C1160,2024-07-15,Giza,Returning
C1161,2024-05-01,Giza,New
C1162,2023-09-11,Giza,Returning
C1163,2024-06-17,Giza,Returning
C1164,2023-10-09,Giza,New
C1165,2023-10-20,Cairo,New
C1166,2023-11-24,Cairo,New
C1167,2023-08-25,Giza,Returning
C1168,2023-08-08,Cairo,Returning
C1169,2023-12-05,Giza,Returning
C1170,2023-07-31,Giza,Returning
C1171,2024-08-21,Cairo,Returning
C1172,2024-08-12,Giza,Returning
C1173,2023-12-27,Giza,Returning
C1174,2024-03-05,Cairo,Returning
C1175,2023-10-07,Giza,Returning
C1176,2024-02-03,Giza,Returning
C1177,2024-02-19,Cairo,Returning
C1178,2023-05-11,Cairo,Returning
C1179,2024-08-29,Cairo,New
C1180,2024-03-14,Cairo,Returning
C1181,2023-07-06,Cairo,New
C1182,2023-12-02,Cairo,Returning
C1183,2023-12-12,Giza,New
C1184,2024-03-07,Giza,Returning
C1185,2024-04-26,Cairo,Returning
C1186,2023-02-23,Giza,New
C1187,2023-03-12,Cairo,Returning
C1188,2023-09-11,Cairo,Returning
C1189,2024-09-28,Cairo,New
C1190,2024-04-29,Cairo,Returning
C1191,2023-08-12,Giza,Returning
C1192,2024-01-13,Cairo,Returning
C1193,2023-04-28,Cairo,Returning
C1194,2023-04-21,Cairo,Returning
C1195,2024-08-12,Giza,Returning
C1196,2023-07-23,Cairo,Returning
C1197,2024-10-04,Cairo,New
C1198,2023-11-05,Cairo,Returning
C1199,2024-08-02,Cairo,New
C1200,2024-03-14,Giza,New
C1201,2024-10-25,Giza,New
C1202,2024-03-06,Giza,New
C1203,2024-01-06,Giza,Returning
C1204,2024-03-21,Cairo,Returning
C1205,2024-10-28,Giza,Returning
C1206,2024-07-05,Giza,Returning
C1207,2024-08-29,Giza,New
C1208,2023-09-09,Cairo,New
C1209,2024-04-06,Cairo,Returning
C1210,2024-08-06,Giza,New
C1211,2024-05-21,Giza,New
C1212,2023-08-06,Giza,Returning
C1213,2023-12-15,Giza,Returning
C1214,2023-10-10,Cairo,Returning
C1215,2023-07-15,Cairo,New
C1216,2024-02-21,Giza,Returning
C1217,2023-09-04,Giza,Returning
C1218,2024-05-17,Giza,Returning
C1219,2023-04-06,Giza,New
C1220,2023-09-07,Giza,Returning
C1221,2024-01-13,Giza,Returning
C1222,2023-12-19,Giza,Returning
C1223,2024-07-17,Giza,Returning
C1224,2024-04-09,Giza,New
C1225,2023-08-25,Cairo,Returning
C1226,2023-11-20,Cairo,Returning
C1227,2023-07-09,Cairo,New
C1228,2024-05-10,Giza,Returning
C1229,2024-06-21,Giza,Returning
C1230,2023-07-18,Giza,New
C1231,2023-07-03,Giza,New
C1232,2024-06-30,Cairo,New
C1233,2023-02-25,Giza,Returning
C1234,2023-05-10,Giza,New
C1235,2023-01-13,Giza,Returning
C1236,2024-03-27,Giza,New
C1237,2023-02-22,Giza,Returning
C1238,2024-05-04,Cairo,Returning
C1239,2024-02-15,Giza,New
C1240,2024-10-06,Cairo,New
C1241,2024-07-30,Giza,New
C1242,2023-09-12,Cairo,Returning
C1243,2024-03-02,Cairo,Returning
C1244,2024-01-25,Giza,Returning
C1245,2023-11-01,Giza,New
C1246,2024-09-27,Cairo,Returning
C1247,2023-04-12,Cairo,Returning
C1248,2023-09-28,Cairo,New
C1249,2023-06-27,Cairo,New
C1250,2024-02-23,Giza,Returning
C1251,2024-04-26,Giza,New
C1252,2023-10-23,Giza,Returning
C1253,2024-04-09,Cairo,Returning
C1254,2023-09-28,Cairo,Returning
C1255,2024-07-11,Cairo,Returning
C1256,2023-09-30,Cairo,New
C1257,2023-06-19,Giza,Returning
C1258,2024-08-05,Giza,Returning
C1259,2024-04-24,Giza,Returning
C1260,2023-10-06,Giza,Returning
C1261,2024-09-04,Cairo,Returning
C1262,2023-11-27,Giza,New
C1263,2023-08-23,Cairo,Returning
C1264,2024-11-19,Giza,Returning
C1265,2023-06-29,Giza,Returning
C1266,2024-03-28,Giza,New
C1267,2024-08-22,Giza,Returning
C1268,2024-05-18,Cairo,Returning
C1269,2024-02-23,Giza,New
C1270,2023-04-18,Cairo,New
C1271,2024-05-22,Giza,Returning
C1272,2024-02-15,Cairo,Returning
C1273,2023-11-19,Giza,New
C1274,2024-02-18,Cairo,Returning
C1275,2024-07-09,Giza,Returning
C1276,2023-07-12,Giza,Returning
C1277,2024-05-25,Giza,Returning
C1278,2023-07-28,Giza,Returning
C1279,2023-10-22,Giza,Returning
C1280,2024-05-11,Cairo,New
C1281,2024-10-07,Cairo,Returning
C1282,2023-11-15,Cairo,Returning
C1283,2023-04-06,Cairo,Returning
C1284,2023-04-27,Giza,Returning
C1285,2024-10-25,Cairo,Returning
C1286,2023-10-26,Giza,Returning
C1287,2024-05-09,Giza,New
C1288,2024-07-18,Cairo,Returning
C1289,2024-09-05,Cairo,Returning
C1290,2023-10-10,Giza,New
C1291,2024-06-03,Giza,Returning
C1292,2023-10-17,Giza,Returning
C1293,2024-08-16,Giza,Returning
C1294,2024-04-02,Giza,New
C1295,2024-07-19,Giza,Returning
C1296,2023-11-26,Cairo,Returning
C1297,2023-09-02,Giza,New
C1298,2024-02-25,Cairo,New
C1299,2024-04-29,Giza,Returning
C1300,2024-11-10,Cairo,Returning
C1301,2023-02-07,Cairo,Returning
C1302,2024-08-27,Giza,Returning
C1303,2024-03-26,Cairo,Returning
C1304,2024-04-12,Cairo,Returning
C1305,2024-02-24,Cairo,New
C1306,2023-09-29,Giza,Returning
C1307,2024-02-12,Cairo,Returning
C1308,2024-11-21,Giza,Returning
C1309,2024-10-03,Giza,Returning
C1310,2023-02-06,Cairo,New
C1311,2024-12-01,Giza,Returning
C1312,2023-04-03,Giza,Returning
C1313,2024-10-10,Cairo,Returning
C1314,2023-11-03,Cairo,New
C1315,2023-02-27,Giza,Returning
C1316,2024-03-17,Cairo,New
C1317,2024-02-26,Cairo,New
C1318,2023-03-22,Giza,Returning
C1319,2023-09-04,Giza,Returning
C1320,2023-05-27,Cairo,Returning
C1321,2023-09-18,Giza,New
C1322,2023-01-10,Giza,Returning
C1323,2024-11-24,Cairo,New
C1324,2023-12-20,Giza,Returning
C1325,2024-03-10,Giza,Returning
C1326,2023-11-06,Cairo,Returning
C1327,2024-05-09,Cairo,New
C1328,2024-08-08,Giza,Returning
C1329,2023-10-30,Cairo,Returning
C1330,2024-11-05,Giza,New
C1331,2024-08-02,Cairo,Returning
C1332,2024-05-23,Giza,Returning
C1333,2023-08-24,Giza,New
C1334,2023-07-14,Giza,Returning
C1335,2024-11-06,Cairo,Returning
C1336,2024-10-04,Cairo,New
C1337,2024-03-27,Cairo,Returning
C1338,2023-05-15,Cairo,Returning
C1339,2023-12-01,Giza,New
C1340,2023-05-16,Giza,Returning
C1341,2023-10-07,Cairo,New
C1342,2024-05-08,Giza,Returning
C1343,2023-12-13,Cairo,Returning
C1344,2023-03-19,Cairo,Returning
C1345,2023-08-20,Giza,Returning
C1346,2024-07-24,Giza,New
C1347,2024-02-09,Cairo,New
C1348,2023-05-07,Giza,Returning
C1349,2024-11-19,Giza,Returning
C1350,2024-10-15,Giza,New
C1351,2023-08-28,Giza,New
C1352,2024-07-28,Giza,Returning
C1353,2023-08-15,Cairo,Returning
C1354,2024-04-20,Giza,Returning
C1355,2023-04-30,Cairo,New
C1356,2023-02-08,Giza,Returning
C1357,2023-04-29,Cairo,New
C1358,2024-07-04,Cairo,Returning
C1359,2024-01-15,Giza,Returning
C1360,2023-06-08,Giza,Returning
C1361,2024-05-16,Giza,Returning
C1362,2023-10-14,Cairo,Returning
C1363,2023-08-11,Giza,Returning
C1364,2023-08-30,Giza,New
C1365,2024-01-12,Giza,New
C1366,2023-10-10,Cairo,Returning
C1367,2024-04-10,Cairo,Returning
C1368,2024-10-19,Cairo,New
C1369,2023-12-08,Cairo,Returning
C1370,2024-08-01,Cairo,New
C1371,2024-07-21,Cairo,Returning
C1372,2023-08-27,Giza,Returning
C1373,2024-09-02,Cairo,New
C1374,2023-05-29,Cairo,Returning
C1375,2023-06-28,Cairo,Returning
C1376,2023-01-27,Cairo,New
C1377,2023-09-01,Giza,New
C1378,2023-09-29,Cairo,New
C1379,2024-03-07,Cairo,Returning
C1380,2024-05-02,Giza,Returning
C1381,2024-06-09,Cairo,Returning
C1382,2023-08-15,Cairo,Returning
C1383,2024-11-05,Giza,Returning
C1384,2023-02-01,Cairo,Returning
C1385,2024-02-16,Giza,Returning
C1386,2024-05-17,Giza,New
C1387,2023-03-24,Giza,Returning
C1388,2023-03-09,Cairo,New
C1389,2024-10-10,Giza,Returning
C1390,2024-09-03,Giza,Returning
C1391,2024-09-11,Giza,New
C1392,2023-04-28,Cairo,Returning
C1393,2023-08-22,Giza,New
C1394,2024-04-09,Giza,Returning
C1395,2023-04-08,Giza,Returning
C1396,2024-11-12,Giza,Returning
C1397,2023-06-06,Giza,New
C1398,2023-03-29,Cairo,Returning
C1399,2024-01-17,Cairo,Returning
C1400,2024-08-23,Giza,Returning
C1401,2024-02-25,Giza,Returning
C1402,2024-03-09,Cairo,Returning
C1403,2024-09-06,Giza,Returning
C1404,2024-08-14,Cairo,New
C1405,2024-05-08,Cairo,Returning
C1406,2023-12-25,Giza,New
C1407,2023-10-13,Cairo,Returning
C1408,2024-07-28,Cairo,Returning
C1409,2024-11-04,Giza,New
C1410,2023-10-07,Giza,Returning
C1411,2023-12-26,Cairo,New
C1412,2023-05-27,Giza,New
C1413,2024-10-10,Cairo,New
C1414,2024-06-27,Cairo,Returning
C1415,2024-04-09,Giza,New
C1416,2023-11-16,Giza,Returning
C1417,2024-08-04,Cairo,Returning
C1418,2023-06-09,Cairo,Returning
C1419,2023-02-20,Cairo,New
C1420,2024-11-08,Giza,Returning
C1421,2024-03-28,Giza,New
C1422,2024-06-08,Cairo,New
C1423,2023-04-24,Giza,Returning
C1424,2024-08-30,Giza,Returning
C1425,2023-11-12,Cairo,New
C1426,2024-09-05,Cairo,New
C1427,2023-11-05,Cairo,Returning
C1428,2023-09-19,Giza,New
C1429,2023-01-08,Giza,Returning
C1430,2023-06-29,Cairo,Returning
C1431,2023-08-24,Giza,New
C1432,2023-02-13,Giza,New
C1433,2023-03-21,Giza,Returning
C1434,2024-08-10,Giza,Returning
C1435,2024-03-03,Giza,New
C1436,2023-01-22,Giza,New
C1437,2024-09-24,Giza,Returning
C1438,2024-01-06,Cairo,Returning
C1439,2023-04-19,Cairo,Returning
C1440,2024-02-15,Cairo,Returning
C1441,2023-11-14,Giza,New
C1442,2023-06-22,Cairo,Returning
C1443,2023-04-27,Cairo,Returning
C1444,2023-12-24,Giza,Returning
C1445,2024-10-22,Cairo,New
C1446,2023-05-30,Giza,New
C1447,2024-09-08,Cairo,Returning
C1448,2024-11-02,Cairo,New
C1449,2024-10-05,Giza,Returning
C1450,2024-07-31,Giza,Returning
C1451,2024-08-01,Giza,Returning
C1452,2024-10-04,Giza,New
C1453,2023-03-11,Giza,Returning
C1454,2023-11-07,Giza,Returning
C1455,2023-12-27,Cairo,New
C1456,2024-04-07,Cairo,New
C1457,2023-10-21,Cairo,Returning
C1458,2023-04-03,Giza,Returning
C1459,2024-07-21,Cairo,Returning
C1460,2024-08-08,Cairo,New
C1461,2024-05-02,Cairo,Returning
C1462,2024-04-06,Cairo,Returning
C1463,2023-12-18,Cairo,Returning
C1464,2023-06-26,Cairo,New
C1465,2024-03-24,Giza,Returning
C1466,2024-09-16,Cairo,Returning
C1467,2023-10-17,Giza,Returning
C1468,2023-12-13,Cairo,Returning
C1469,2024-10-24,Giza,New
C1470,2023-04-07,Giza,New
C1471,2024-11-03,Cairo,New
C1472,2024-08-19,Cairo,Returning
C1473,2023-11-14,Giza,New
C1474,2023-03-28,Giza,Returning
C1475,2024-10-20,Giza,Returning
C1476,2024-11-17,Cairo,Returning
C1477,2024-03-09,Giza,New
C1478,2023-11-13,Cairo,Returning
C1479,2023-12-16,Giza,New
C1480,2023-05-21,Cairo,New
C1481,2023-04-14,Cairo,Returning
C1482,2024-09-24,Cairo,Returning
C1483,2023-06-07,Cairo,New
C1484,2024-10-01,Cairo,Returning
C1485,2023-02-14,Giza,Returning
C1486,2023-09-01,Giza,Returning
C1487,2024-04-04,Cairo,Returning
C1488,2023-11-13,Giza,Returning
C1489,2023-07-18,Giza,Returning
C1490,2024-08-07,Giza,Returning
C1491,2023-10-16,Giza,Returning
C1492,2024-03-04,Cairo,Returning
C1493,2024-09-11,Cairo,Returning
C1494,2023-02-23,Giza,Returning
C1495,2024-07-21,Cairo,Returning
C1496,2024-06-12,Cairo,New
C1497,2023-06-14,Giza,Returning
C1498,2024-06-09,Cairo,Returning
C1499,2023-04-04,Cairo,Returning
C1500,2023-12-24,Cairo,Returning
C1501,2024-02-10,Giza,New
C1502,2023-03-25,Giza,New
C1503,2023-11-23,Cairo,Returning
C1504,2024-10-27,Giza,Returning
C1505,2023-05-21,Cairo,New
C1506,2024-04-28,Cairo,Returning
C1507,2024-04-25,Giza,Returning
C1508,2023-03-23,Cairo,New
C1509,2023-06-03,Giza,New
C1510,2023-10-23,Cairo,New
C1511,2023-02-18,Cairo,Returning
C1512,2024-09-29,Giza,New
C1513,2024-05-26,Cairo,Returning
C1514,2024-08-11,Cairo,Returning
C1515,2023-10-26,Giza,New
C1516,2023-12-28,Cairo,Returning
C1517,2023-07-11,Cairo,Returning
C1518,2024-01-05,Cairo,Returning
C1519,2024-07-11,Cairo,Returning
C1520,2024-04-26,Cairo,Returning
C1521,2024-01-18,Giza,Returning
C1522,2024-01-01,Cairo,New
C1523,2024-11-03,Cairo,Returning
C1524,2023-12-07,Cairo,New
C1525,2024-07-13,Giza,Returning
C1526,2023-06-29,Giza,Returning
C1527,2024-05-05,Cairo,Returning
C1528,2023-03-06,Giza,New
C1529,2023-07-26,Cairo,Returning
C1530,2023-02-12,Giza,Returning
C1531,2024-06-11,Giza,Returning
C1532,2024-07-10,Giza,New
C1533,2024-10-24,Cairo,New
C1534,2023-02-18,Giza,New
C1535,2024-01-12,Giza,Returning
C1536,2024-03-26,Giza,New
C1537,2023-07-11,Giza,Returning
C1538,2024-01-12,Giza,Returning
C1539,2024-03-10,Cairo,Returning
C1540,2023-07-04,Giza,New
C1541,2023-03-23,Giza,Returning
C1542,2023-11-10,Giza,Returning
C1543,2024-03-12,Cairo,Returning
C1544,2023-12-26,Giza,New
C1545,2023-12-28,Giza,New
C1546,2023-02-28,Cairo,Returning
C1547,2024-02-20,Giza,Returning
C1548,2024-11-26,Cairo,Returning
C1549,2023-05-27,Giza,New
C1550,2023-03-10,Cairo,Returning
C1551,2024-01-11,Giza,Returning
C1552,2024-08-03,Cairo,Returning
C1553,2024-11-26,Giza,Returning
C1554,2024-01-16,Giza,Returning
C1555,2024-08-10,Cairo,Returning
C1556,2024-02-12,Giza,Returning
C1557,2023-09-13,Cairo,New
C1558,2023-07-10,Giza,Returning
C1559,2024-07-29,Cairo,New
C1560,2023-09-24,Giza,New
C1561,2024-09-18,Giza,Returning
C1562,2024-05-17,Cairo,New
C1563,2023-03-17,Giza,New
C1564,2024-03-31,Cairo,Returning
C1565,2023-11-24,Giza,Returning
C1566,2024-07-17,Giza,Returning
C1567,2023-06-11,Cairo,Returning
C1568,2024-06-04,Cairo,New
C1569,2023-07-25,Cairo,New
C1570,2024-05-20,Cairo,Returning
C1571,2024-08-09,Giza,Returning
C1572,2024-07-18,Cairo,Returning
C1573,2023-03-30,Cairo,New
C1574,2024-05-05,Giza,Returning
C1575,2024-08-11,Cairo,New
C1576,2023-11-21,Cairo,Returning
C1577,2024-11-27,Giza,New
C1578,2024-07-18,Cairo,Returning
C1579,2023-05-13,Giza,Returning
C1580,2023-02-26,Cairo,Returning
C1581,2023-11-08,Cairo,New
C1582,2023-08-19,Giza,Returning
C1583,2024-06-15,Giza,Returning
C1584,2023-09-14,Cairo,Returning
C1585,2024-07-18,Giza,New
C1586,2023-11-07,Cairo,Returning
C1587,2023-06-22,Cairo,New
C1588,2024-10-01,Giza,Returning
C1589,2024-07-31,Cairo,Returning
C1590,2023-01-30,Cairo,New
C1591,2024-10-18,Giza,Returning
C1592,2024-08-08,Giza,Returning
C1593,2023-02-01,Giza,Returning
C1594,2024-07-12,Giza,Returning
C1595,2023-11-06,Giza,New
C1596,2024-02-20,Giza,Returning
C1597,2023-03-03,Cairo,Returning
C1598,2024-05-10,Giza,New
C1599,2024-09-13,Cairo,New
C1600,2023-11-23,Giza,Returning
C1601,2023-05-14,Giza,Returning
C1602,2023-04-19,Giza,New
C1603,2023-05-06,Giza,Returning
C1604,2023-05-25,Cairo,New
C1605,2024-01-29,Giza,New
C1606,2023-06-13,Giza,Returning
C1607,2023-11-17,Cairo,Returning
C1608,2024-05-25,Giza,Returning
C1609,2023-11-12,Giza,New
C1610,2024-02-07,Giza,Returning
C1611,2023-08-09,Giza,New
C1612,2023-10-16,Giza,Returning
C1613,2024-10-31,Giza,New
C1614,2023-01-09,Cairo,Returning
C1615,2023-09-28,Giza,Returning
C1616,2024-01-10,Cairo,Returning
C1617,2024-08-06,Cairo,Returning
C1618,2023-10-23,Cairo,Returning
C1619,2024-04-06,Giza,Returning
C1620,2024-09-30,Cairo,New
C1621,2023-04-10,Giza,Returning
C1622,2023-12-14,Giza,Returning
C1623,2023-07-23,Giza,Returning
C1624,2023-02-16,Cairo,New
C1625,2023-12-08,Giza,Returning
C1626,2023-06-02,Cairo,New
C1627,2024-09-19,Giza,New
C1628,2024-09-23,Giza,Returning
C1629,2024-06-03,Giza,Returning
C1630,2023-11-03,Giza,Returning
C1631,2024-01-13,Giza,Returning
C1632,2024-03-02,Giza,Returning
C1633,2024-10-06,Cairo,Returning
C1634,2023-09-29,Cairo,Returning
C1635,2024-08-20,Giza,New
C1636,2024-10-06,Giza,New
C1637,2024-11-28,Cairo,New
C1638,2023-04-23,Cairo,New
C1639,2023-11-18,Giza,New
C1640,2023-07-28,Giza,Returning
C1641,2024-09-18,Giza,Returning
C1642,2023-03-05,Cairo,Returning
C1643,2024-07-28,Giza,Returning
C1644,2024-05-04,Giza,New
C1645,2023-06-27,Giza,Returning
C1646,2023-12-17,Giza,Returning
C1647,2024-11-28,Giza,Returning
C1648,2023-07-16,Cairo,New
C1649,2023-11-02,Cairo,Returning
C1650,2023-11-01,Giza,Returning
C1651,2024-05-15,Giza,Returning
C1652,2024-07-27,Giza,New
C1653,2024-08-10,Giza,Returning
C1654,2024-02-09,Giza,Returning
C1655,2023-05-30,Giza,New
C1656,2023-03-22,Giza,Returning
C1657,2024-11-02,Giza,Returning
C1658,2023-08-08,Cairo,Returning
C1659,2023-10-05,Giza,New
C1660,2024-09-22,Cairo,New
C1661,2024-11-16,Cairo,Returning
C1662,2023-02-23,Cairo,Returning
C1663,2024-04-28,Cairo,Returning
C1664,2023-05-21,Cairo,Returning
C1665,2023-06-11,Giza,Returning
C1666,2024-05-02,Giza,Returning
C1667,2023-10-22,Giza,New
C1668,2023-03-02,Cairo,Returning
C1669,2023-08-26,Cairo,Returning
C1670,2023-06-29,Giza,Returning
C1671,2023-06-30,Cairo,Returning
C1672,2024-02-11,Giza,New
C1673,2023-10-24,Cairo,New
C1674,2024-08-04,Cairo,Returning
C1675,2023-12-10,Giza,Returning
C1676,2024-10-18,Giza,Returning
C1677,2023-05-18,Giza,New
C1678,2023-04-26,Giza,New
C1679,2024-04-14,Giza,Returning
C1680,2023-01-15,Giza,Returning
C1681,2024-08-04,Cairo,New
C1682,2024-10-16,Giza,Returning
C1683,2024-06-11,Giza,New
C1684,2024-11-16,Cairo,New
C1685,2023-05-24,Giza,New
C1686,2023-09-12,Cairo,New
C1687,2023-08-30,Giza,Returning
C1688,2023-12-04,Giza,Returning
C1689,2024-08-09,Cairo,New
C1690,2024-01-04,Cairo,New
C1691,2023-05-02,Giza,New
C1692,2024-02-20,Giza,Returning
C1693,2024-10-16,Giza,Returning
C1694,2023-08-15,Cairo,Returning
C1695,2024-05-04,Cairo,Returning
C1696,2024-09-12,Giza,Returning
C1697,2024-07-16,Giza,Returning
C1698,2024-11-11,Cairo,Returning
C1699,2024-11-27,Cairo,Returning
C1700,2024-06-24,Giza,New
C1701,2024-07-31,Cairo,New
C1702,2024-07-14,Cairo,Returning
C1703,2023-06-03,Cairo,New
C1704,2024-06-16,Giza,New
C1705,2023-07-30,Giza,New
C1706,2024-06-06,Giza,Returning
C1707,2024-04-09,Cairo,Returning
C1708,2024-04-12,Cairo,Returning
C1709,2024-11-19,Giza,Returning
C1710,2024-02-10,Giza,Returning
C1711,2023-08-12,Cairo,New
C1712,2023-12-19,Cairo,Returning
C1713,2023-03-03,Cairo,Returning
C1714,2024-04-28,Cairo,New
C1715,2023-07-04,Cairo,Returning
C1716,2024-10-23,Giza,Returning
C1717,2024-01-27,Giza,Returning
C1718,2024-01-22,Giza,New
C1719,2024-11-08,Cairo,Returning
C1720,2023-12-23,Cairo,New
C1721,2024-07-04,Giza,Returning
C1722,2023-08-17,Cairo,Returning
C1723,2023-11-02,Giza,Returning
C1724,2024-07-11,Giza,Returning
C1725,2023-08-24,Cairo,Returning
C1726,2023-06-08,Giza,New
C1727,2023-04-26,Cairo,Returning
C1728,2024-03-05,Cairo,New
C1729,2023-03-10,Cairo,Returning
C1730,2024-04-02,Cairo,New
C1731,2023-02-15,Giza,Returning
C1732,2024-07-06,Cairo,Returning
C1733,2023-02-27,Cairo,Returning
C1734,2023-10-24,Cairo,Returning
C1735,2024-08-12,Giza,Returning
C1736,2024-11-19,Giza,New
C1737,2023-05-27,Cairo,Returning
C1738,2023-10-09,Cairo,Returning
C1739,2024-08-28,Cairo,Returning
C1740,2024-03-13,Giza,New
C1741,2023-12-19,Giza,Returning
C1742,2023-11-23,Giza,Returning
