OrderID,OrderDate,CustomerID,BranchID,Branch,City,ProductID,Product,Category,Subcategory,Quantity,UnitPrice,Sales,Cost,Profit,PaymentMethod,Channel,CustomerType
100018,2024-04-04 16:58:00,C1979,B012,City Stars,Cairo,P011,Pasta 500g,Grocery,Pasta,1,35,35,18,17,Visa,Store,New
100019,2024-12-18 11:10:00,C1427,B006,Nasr City,Cairo,P029,Vinegar 500ml,Grocery,Condiment,2,28,56,32,24,Visa,Store,Returning
100020,2024-06-19 22:29:00,C4374,B003,New Cairo (Waterway),Cairo,P039,Cooking Spray 200ml,Household,Cooking,2,65,130,72,58,Mada,Store,Returning
100021,2024-08-07 13:01:00,C1293,B003,New Cairo (Waterway),Cairo,P034,Ginger Powder 100g,Spices,Powder,1,45,45,25,20,Mada,Online,Returning
100022,2024-03-28 18:48:00,C2387,B001,Maadi 1,Cairo,P017,Salt 500g,Grocery,Staples,2,12,24,12,12,Visa,Online,Returning
100023,2024-10-25 08:31:00,C1251,B004,Mall of Arabia - 6th October,Giza,P018,Black Pepper 50g,Spices,Pepper,1,55,55,30,25,Visa,Store,New
100024,2024-01-09 17:43:00,C1951,B005,Heliopolis,Cairo,P035,Tahini 400g,Grocery,Condiment,2,120,240,144,96,Wallet,Store,Returning
100025,2024-03-26 20:09:00,C1453,B002,Mohandeseen,Giza,P022,Cashews 200g,Nuts,Roasted,1,110,110,65,45,Cash,Online,Returning
100026,2024-06-20 15:31:00,C3700,B012,City Stars,Cairo,P013,Cheddar Cheese 200g,Dairy,Cheese,1,95,95,55,40,Cash,Store,New
100027,2024-12-05 15:16:00,C2574,B006,Nasr City,Cairo,P034,Ginger Powder 100g,Spices,Powder,1,45,45,25,20,Visa,Online,New
100028,2024-06-03 19:21:00,C2374,B009,6th of October City,Giza,P016,Detergent 2kg,Household,Cleaning,1,120,120,70,50,Visa,Online,New
100029,2024-11-01 15:07:00,C1971,B005,Heliopolis,Cairo,P004,Turkish Coffee 200g,Coffee,Ground,1,110,110,60,50,Visa,Store,Returning
100030,2024-01-11 10:26:00,C1670,B004,Mall of Arabia - 6th October,Giza,P017,Salt 500g,Grocery,Staples,1,12,12,6,6,Visa,Store,Returning
100031,2024-09-11 08:15:00,C1550,B010,Sheikh Zayed,Giza,P036,Olives 300g,Grocery,Olives,1,75,75,40,35,Visa,Online,Returning
100032,2024-07-03 11:47:00,C4332,B002,Mohandeseen,Giza,P030,Yogurt 170g,Dairy,Yogurt,1,18,18,10,8,Cash,Online,Returning
100033,2024-11-23 09:17:00,C2400,B011,Maadi 2,Cairo,P014,Milk 1L,Dairy,Milk,1,45,45,25,20,Visa,Online,Returning
100034,2024-08-18 22:33:00,C2601,B003,New Cairo (Waterway),Cairo,P040,Granola 400g,Breakfast,Cereal,2,95,190,110,80,Cash,Store,New
100035,2024-06-18 14:37:00,C2991,B007,Zamalek,Cairo,P003,Mixed Nuts 300g,Nuts,Mix,1,150,150,95,55,Wallet,Store,New
100036,2024-04-07 08:37:00,C3648,B009,6th of October City,Giza,P004,Turkish Coffee 200g,Coffee,Ground,1,110,110,60,50,Visa,Online,Returning
100037,2024-03-03 14:50:00,C4178,B008,Dokki,Giza,P011,Pasta 500g,Grocery,Pasta,1,35,35,18,17,Visa,Store,New
100038,2024-06-26 12:07:00,C1143,B001,Maadi 1,Cairo,P010,Rice 5kg,Grocery,Staples,1,180,180,110,70,Visa,Store,New
100039,2024-08-26 18:09:00,C3672,B009,6th of October City,Giza,P019,Cinnamon 50g,Spices,Spice,2,48,96,56,40,Mada,Store,New
100040,2024-12-06 10:19:00,C3377,B008,Dokki,Giza,P023,Tea Bags 100pcs,Beverages,Tea,2,90,180,100,80,Cash,Store,New
100041,2024-01-08 15:02:00,C3387,B004,Mall of Arabia - 6th October,Giza,P009,Sugar 1kg,Grocery,Baking,2,40,80,44,36,Cash,Store,New
100042,2024-01-28 15:19:00,C2545,B001,Maadi 1,Cairo,P018,Black Pepper 50g,Spices,Pepper,1,55,55,30,25,Cash,Store,New
100043,2024-01-01 08:16:00,C4087,B003,New Cairo (Waterway),Cairo,P015,Orange Juice 1L,Beverages,Juice,1,60,60,35,25,Cash,Store,Returning
100044,2024-09-14 18:49:00,C3013,B009,6th of October City,Giza,P007,Sunflower Oil 1L,Oils,Vegetable,3,180,540,300,240,Cash,Store,Returning
100045,2024-05-18 10:46:00,C2673,B004,Mall of Arabia - 6th October,Giza,P002,Pistachio 200g,Nuts,Salted,1,120,120,75,45,Cash,Online,New
100046,2024-05-28 11:02:00,C4099,B008,Dokki,Giza,P035,Tahini 400g,Grocery,Condiment,1,120,120,72,48,Wallet,Store,Returning
100047,2024-12-13 18:24:00,C4007,B007,Zamalek,Cairo,P006,Olive Oil 500ml,Oils,Olive,1,220,220,140,80,Cash,Online,Returning
100048,2024-05-13 22:19:00,C3550,B010,Sheikh Zayed,Giza,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Cash,Store,Returning
100049,2024-12-13 22:20:00,C4169,B010,Sheikh Zayed,Giza,P032,Frozen Vegetables 400g,Frozen,Veg,2,55,110,64,46,Cash,Store,New
100050,2024-05-08 10:26:00,C3329,B009,6th of October City,Giza,P035,Tahini 400g,Grocery,Condiment,1,120,120,72,48,Cash,Store,Returning
100051,2024-06-01 17:59:00,C3194,B011,Maadi 2,Cairo,P013,Cheddar Cheese 200g,Dairy,Cheese,4,95,380,220,160,Visa,Store,Returning
100052,2024-08-11 09:08:00,C1991,B009,6th of October City,Giza,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Cash,Store,New
100053,2024-12-16 19:22:00,C2281,B008,Dokki,Giza,P037,Protein Bar 50g,Health,Protein,2,40,80,44,36,Cash,Store,New
100054,2024-07-29 15:01:00,C3779,B009,6th of October City,Giza,P003,Mixed Nuts 300g,Nuts,Mix,2,150,300,190,110,Cash,Store,New
100055,2024-02-15 20:08:00,C3462,B010,Sheikh Zayed,Giza,P025,Chips 150g,Snacks,Chips,1,25,25,13,12,Wallet,Store,Returning
100056,2024-10-24 16:23:00,C3167,B003,New Cairo (Waterway),Cairo,P035,Tahini 400g,Grocery,Condiment,1,120,120,72,48,Visa,Online,Returning
100057,2024-05-30 08:48:00,C2232,B007,Zamalek,Cairo,P007,Sunflower Oil 1L,Oils,Vegetable,2,180,360,200,160,Cash,Store,Returning
100058,2024-08-24 20:48:00,C1275,B009,6th of October City,Giza,P003,Mixed Nuts 300g,Nuts,Mix,1,150,150,95,55,Visa,Store,Returning
100059,2024-01-29 12:53:00,C3014,B011,Maadi 2,Cairo,P015,Orange Juice 1L,Beverages,Juice,1,60,60,35,25,Cash,Store,New
100060,2024-05-28 17:30:00,C1288,B012,City Stars,Cairo,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Cash,Store,Returning
100061,2024-10-26 18:32:00,C2912,B012,City Stars,Cairo,P038,Energy Drink 330ml,Beverages,Energy,1,30,30,18,12,Visa,Store,New
100062,2024-09-21 10:35:00,C2146,B012,City Stars,Cairo,P022,Cashews 200g,Nuts,Roasted,1,110,110,65,45,Mada,Store,Returning
100063,2024-12-11 18:54:00,C2011,B003,New Cairo (Waterway),Cairo,P001,Almonds 250g,Nuts,Roasted,1,85,85,55,30,Cash,Store,Returning
100064,2024-01-04 20:31:00,C2737,B010,Sheikh Zayed,Giza,P015,Orange Juice 1L,Beverages,Juice,1,60,60,35,25,Visa,Store,Returning
100065,2024-01-01 10:38:00,C2288,B002,Mohandeseen,Giza,P038,Energy Drink 330ml,Beverages,Energy,1,30,30,18,12,Visa,Store,Returning
100066,2024-02-23 15:01:00,C2458,B009,6th of October City,Giza,P004,Turkish Coffee 200g,Coffee,Ground,1,110,110,60,50,Cash,Store,New
100067,2024-03-03 12:25:00,C2965,B008,Dokki,Giza,P015,Orange Juice 1L,Beverages,Juice,1,60,60,35,25,Mada,Online,Returning
100068,2024-10-06 12:52:00,C3933,B010,Sheikh Zayed,Giza,P040,Granola 400g,Breakfast,Cereal,1,95,95,55,40,Visa,Online,Returning
100069,2024-11-11 09:27:00,C1867,B003,New Cairo (Waterway),Cairo,P001,Almonds 250g,Nuts,Roasted,1,85,85,55,30,Visa,Store,Returning
100070,2024-12-02 11:10:00,C2253,B009,6th of October City,Giza,P018,Black Pepper 50g,Spices,Pepper,2,55,110,60,50,Visa,Store,Returning
100071,2024-08-31 15:18:00,C3667,B005,Heliopolis,Cairo,P040,Granola 400g,Breakfast,Cereal,1,95,95,55,40,Visa,Online,Returning
100072,2024-09-09 13:42:00,C2880,B005,Heliopolis,Cairo,P004,Turkish Coffee 200g,Coffee,Ground,2,110,220,120,100,Cash,Store,New
100073,2024-02-24 15:26:00,C2435,B007,Zamalek,Cairo,P033,Garlic Powder 100g,Spices,Powder,1,40,40,22,18,Cash,Store,Returning
100074,2024-03-02 17:24:00,C3625,B001,Maadi 1,Cairo,P022,Cashews 200g,Nuts,Roasted,1,110,110,65,45,Visa,Store,Returning
100075,2024-11-29 22:42:00,C1044,B010,Sheikh Zayed,Giza,P018,Black Pepper 50g,Spices,Pepper,2,55,110,60,50,Cash,Online,Returning
100076,2024-06-30 10:29:00,C3413,B012,City Stars,Cairo,P020,Dates Medjool 500g,Dry Fruits,Dates,1,140,140,85,55,Visa,Store,New
100077,2024-03-22 13:32:00,C3459,B009,6th of October City,Giza,P017,Salt 500g,Grocery,Staples,1,12,12,6,6,Cash,Online,Returning
100078,2024-09-25 14:32:00,C2613,B002,Mohandeseen,Giza,P030,Yogurt 170g,Dairy,Yogurt,2,18,36,20,16,Cash,Store,New
100079,2024-12-01 19:36:00,C2257,B006,Nasr City,Cairo,P006,Olive Oil 500ml,Oils,Olive,1,220,220,140,80,Visa,Online,Returning
100080,2024-03-12 12:50:00,C2988,B011,Maadi 2,Cairo,P023,Tea Bags 100pcs,Beverages,Tea,4,90,360,200,160,Cash,Store,Returning
100081,2024-11-26 15:24:00,C4081,B008,Dokki,Giza,P012,Tomato Paste 400g,Grocery,Canned,1,28,28,15,13,Visa,Store,Returning
100082,2024-12-28 22:32:00,C2875,B011,Maadi 2,Cairo,P030,Yogurt 170g,Dairy,Yogurt,1,18,18,10,8,Visa,Store,Returning
100083,2024-06-14 17:37:00,C4061,B006,Nasr City,Cairo,P033,Garlic Powder 100g,Spices,Powder,3,40,120,66,54,Visa,Online,Returning
100084,2024-02-04 08:01:00,C3942,B012,City Stars,Cairo,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Cash,Store,Returning
100085,2024-02-24 15:59:00,C4497,B011,Maadi 2,Cairo,P009,Sugar 1kg,Grocery,Baking,1,40,40,22,18,Visa,Store,Returning
100086,2024-05-01 09:57:00,C1258,B003,New Cairo (Waterway),Cairo,P033,Garlic Powder 100g,Spices,Powder,1,40,40,22,18,Visa,Store,Returning
100087,2024-08-03 22:04:00,C1028,B001,Maadi 1,Cairo,P017,Salt 500g,Grocery,Staples,1,12,12,6,6,Visa,Store,New
100088,2024-02-07 15:48:00,C3770,B006,Nasr City,Cairo,P030,Yogurt 170g,Dairy,Yogurt,1,18,18,10,8,Visa,Online,New
100089,2024-03-30 13:06:00,C2922,B012,City Stars,Cairo,P006,Olive Oil 500ml,Oils,Olive,1,220,220,140,80,Cash,Store,Returning
100090,2024-11-22 17:35:00,C4351,B004,Mall of Arabia - 6th October,Giza,P001,Almonds 250g,Nuts,Roasted,1,85,85,55,30,Cash,Store,Returning
100091,2024-12-13 12:14:00,C1931,B004,Mall of Arabia - 6th October,Giza,P039,Cooking Spray 200ml,Household,Cooking,1,65,65,36,29,Visa,Store,Returning
100092,2024-09-27 20:50:00,C2024,B004,Mall of Arabia - 6th October,Giza,P006,Olive Oil 500ml,Oils,Olive,1,220,220,140,80,Cash,Store,Returning
100093,2024-12-08 09:13:00,C1584,B001,Maadi 1,Cairo,P008,Honey Natural 500g,Honey,Pure,1,200,200,120,80,Wallet,Online,Returning
100094,2024-07-03 20:26:00,C4351,B010,Sheikh Zayed,Giza,P037,Protein Bar 50g,Health,Protein,1,40,40,22,18,Visa,Store,Returning
100095,2024-04-04 18:46:00,C1164,B012,City Stars,Cairo,P033,Garlic Powder 100g,Spices,Powder,3,40,120,66,54,Visa,Store,New
100096,2024-04-16 17:52:00,C1117,B008,Dokki,Giza,P021,Walnuts 200g,Nuts,Roasted,1,95,95,60,35,Visa,Store,New
100097,2024-10-13 21:08:00,C3786,B002,Mohandeseen,Giza,P002,Pistachio 200g,Nuts,Salted,1,120,120,75,45,Cash,Store,Returning
100098,2024-02-06 17:05:00,C3947,B003,New Cairo (Waterway),Cairo,P024,Biscuits 200g,Snacks,Biscuit,1,30,30,16,14,Visa,Store,Returning
100099,2024-03-01 15:14:00,C2065,B001,Maadi 1,Cairo,P026,Chocolate 100g,Confectionery,Chocolate,1,35,35,20,15,Visa,Store,Returning
100100,2024-04-24 21:18:00,C4187,B005,Heliopolis,Cairo,P006,Olive Oil 500ml,Oils,Olive,1,220,220,140,80,Cash,Store,Returning
100101,2024-03-21 12:04:00,C3491,B009,6th of October City,Giza,P021,Walnuts 200g,Nuts,Roasted,2,95,190,120,70,Visa,Online,New
100102,2024-11-08 16:19:00,C2318,B007,Zamalek,Cairo,P015,Orange Juice 1L,Beverages,Juice,1,60,60,35,25,Visa,Store,Returning
100103,2024-02-26 17:30:00,C1764,B005,Heliopolis,Cairo,P027,Peanut Butter 350g,Grocery,Spread,1,95,95,55,40,Visa,Store,Returning
100104,2024-08-03 12:12:00,C4480,B006,Nasr City,Cairo,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Wallet,Store,New
100105,2024-04-14 16:52:00,C2314,B012,City Stars,Cairo,P022,Cashews 200g,Nuts,Roasted,1,110,110,65,45,Cash,Store,Returning
100106,2024-02-01 11:31:00,C1962,B002,Mohandeseen,Giza,P036,Olives 300g,Grocery,Olives,1,75,75,40,35,Wallet,Store,Returning
100107,2024-11-08 19:53:00,C3326,B001,Maadi 1,Cairo,P009,Sugar 1kg,Grocery,Baking,1,40,40,22,18,Cash,Store,Returning
100108,2024-08-01 17:47:00,C3475,B010,Sheikh Zayed,Giza,P010,Rice 5kg,Grocery,Staples,1,180,180,110,70,Wallet,Online,Returning
100109,2024-09-02 10:17:00,C1991,B012,City Stars,Cairo,P018,Black Pepper 50g,Spices,Pepper,2,55,110,60,50,Cash,Store,New
100110,2024-09-16 11:41:00,C2693,B006,Nasr City,Cairo,P030,Yogurt 170g,Dairy,Yogurt,1,18,18,10,8,Cash,Store,New
100111,2024-04-26 08:59:00,C3066,B001,Maadi 1,Cairo,P022,Cashews 200g,Nuts,Roasted,1,110,110,65,45,Cash,Store,Returning
100112,2024-04-10 16:38:00,C2331,B007,Zamalek,Cairo,P011,Pasta 500g,Grocery,Pasta,1,35,35,18,17,Visa,Store,Returning
100113,2024-10-09 15:03:00,C3857,B007,Zamalek,Cairo,P031,Bread 1pc,Bakery,Bread,2,8,16,8,8,Visa,Store,Returning
100114,2024-08-08 19:27:00,C3607,B009,6th of October City,Giza,P034,Ginger Powder 100g,Spices,Powder,3,45,135,75,60,Cash,Store,New
100115,2024-11-11 22:23:00,C3411,B006,Nasr City,Cairo,P004,Turkish Coffee 200g,Coffee,Ground,1,110,110,60,50,Cash,Store,Returning
100116,2024-01-30 11:14:00,C1706,B002,Mohandeseen,Giza,P032,Frozen Vegetables 400g,Frozen,Veg,1,55,55,32,23,Visa,Store,Returning
100117,2024-10-01 17:02:00,C2864,B001,Maadi 1,Cairo,P007,Sunflower Oil 1L,Oils,Vegetable,1,180,180,100,80,Wallet,Store,Returning
100118,2024-01-30 09:03:00,C2251,B003,New Cairo (Waterway),Cairo,P038,Energy Drink 330ml,Beverages,Energy,1,30,30,18,12,Cash,Store,Returning
100119,2024-06-09 13:38:00,C4409,B011,Maadi 2,Cairo,P034,Ginger Powder 100g,Spices,Powder,2,45,90,50,40,Wallet,Online,Returning
100120,2024-03-07 17:25:00,C2210,B008,Dokki,Giza,P031,Bread 1pc,Bakery,Bread,1,8,8,4,4,Visa,Store,New
100121,2024-02-09 12:34:00,C3525,B004,Mall of Arabia - 6th October,Giza,P031,Bread 1pc,Bakery,Bread,2,8,16,8,8,Visa,Store,Returning
100122,2024-07-01 22:58:00,C3657,B004,Mall of Arabia - 6th October,Giza,P009,Sugar 1kg,Grocery,Baking,1,40,40,22,18,Cash,Store,Returning
100123,2024-07-06 20:35:00,C4145,B005,Heliopolis,Cairo,P031,Bread 1pc,Bakery,Bread,2,8,16,8,8,Wallet,Store,Returning
100124,2024-05-16 13:44:00,C2954,B009,6th of October City,Giza,P005,Instant Coffee 200g,Coffee,Instant,1,95,95,45,50,Visa,Store,Returning
100125,2024-07-29 19:39:00,C1953,B008,Dokki,Giza,P004,Turkish Coffee 200g,Coffee,Ground,1,110,110,60,50,Cash,Store,Returning
100126,2024-03-11 21:33:00,C4012,B004,Mall of Arabia - 6th October,Giza,P024,Biscuits 200g,Snacks,Biscuit,1,30,30,16,14,Cash,Store,Returning
100127,2024-03-03 13:46:00,C2130,B003,New Cairo (Waterway),Cairo,P001,Almonds 250g,Nuts,Roasted,1,85,85,55,30,Cash,Store,Returning
100128,2024-08-13 18:48:00,C3998,B008,Dokki,Giza,P025,Chips 150g,Snacks,Chips,1,25,25,13,12,Mada,Store,Returning
100129,2024-01-18 12:17:00,C2115,B010,Sheikh Zayed,Giza,P018,Black Pepper 50g,Spices,Pepper,1,55,55,30,25,Cash,Online,New
100130,2024-02-13 08:17:00,C3202,B010,Sheikh Zayed,Giza,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Cash,Store,Returning
100131,2024-07-14 14:28:00,C4242,B001,Maadi 1,Cairo,P032,Frozen Vegetables 400g,Frozen,Veg,2,55,110,64,46,Cash,Store,Returning
100132,2024-12-03 14:34:00,C4485,B001,Maadi 1,Cairo,P005,Instant Coffee 200g,Coffee,Instant,1,95,95,45,50,Visa,Store,Returning
100133,2024-06-27 22:01:00,C3588,B010,Sheikh Zayed,Giza,P038,Energy Drink 330ml,Beverages,Energy,3,30,90,54,36,Visa,Store,Returning
100134,2024-05-14 20:48:00,C2718,B010,Sheikh Zayed,Giza,P031,Bread 1pc,Bakery,Bread,1,8,8,4,4,Cash,Store,Returning
100135,2024-11-14 14:55:00,C2689,B007,Zamalek,Cairo,P022,Cashews 200g,Nuts,Roasted,1,110,110,65,45,Visa,Online,Returning
100136,2024-01-30 20:06:00,C3763,B009,6th of October City,Giza,P033,Garlic Powder 100g,Spices,Powder,1,40,40,22,18,Cash,Store,Returning
100137,2024-12-13 12:54:00,C1885,B009,6th of October City,Giza,P033,Garlic Powder 100g,Spices,Powder,1,40,40,22,18,Visa,Store,New
100138,2024-10-17 20:33:00,C3667,B005,Heliopolis,Cairo,P035,Tahini 400g,Grocery,Condiment,1,120,120,72,48,Cash,Store,Returning
100139,2024-05-01 10:58:00,C3965,B001,Maadi 1,Cairo,P003,Mixed Nuts 300g,Nuts,Mix,3,150,450,285,165,Cash,Store,Returning
100140,2024-05-20 09:15:00,C4241,B009,6th of October City,Giza,P034,Ginger Powder 100g,Spices,Powder,1,45,45,25,20,Cash,Store,Returning
100141,2024-01-20 17:17:00,C1125,B006,Nasr City,Cairo,P040,Granola 400g,Breakfast,Cereal,1,95,95,55,40,Cash,Store,Returning
100142,2024-11-30 20:49:00,C2786,B010,Sheikh Zayed,Giza,P008,Honey Natural 500g,Honey,Pure,1,200,200,120,80,Cash,Store,Returning
100143,2024-12-04 13:53:00,C2300,B005,Heliopolis,Cairo,P002,Pistachio 200g,Nuts,Salted,2,120,240,150,90,Wallet,Store,New
100144,2024-01-09 15:00:00,C1646,B008,Dokki,Giza,P008,Honey Natural 500g,Honey,Pure,1,200,200,120,80,Cash,Store,Returning
100145,2024-11-22 21:35:00,C3632,B004,Mall of Arabia - 6th October,Giza,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Cash,Store,Returning
100146,2024-02-10 12:57:00,C3390,B010,Sheikh Zayed,Giza,P029,Vinegar 500ml,Grocery,Condiment,2,28,56,32,24,Visa,Online,Returning
100147,2024-08-13 10:16:00,C1156,B005,Heliopolis,Cairo,P002,Pistachio 200g,Nuts,Salted,1,120,120,75,45,Cash,Store,New
100148,2024-04-26 18:11:00,C3513,B003,New Cairo (Waterway),Cairo,P005,Instant Coffee 200g,Coffee,Instant,2,95,190,90,100,Wallet,Store,New
100149,2024-04-29 09:41:00,C2888,B001,Maadi 1,Cairo,P034,Ginger Powder 100g,Spices,Powder,1,45,45,25,20,Cash,Store,Returning
100150,2024-08-13 17:20:00,C2381,B001,Maadi 1,Cairo,P018,Black Pepper 50g,Spices,Pepper,2,55,110,60,50,Visa,Store,Returning
100151,2024-05-12 12:01:00,C3856,B011,Maadi 2,Cairo,P031,Bread 1pc,Bakery,Bread,1,8,8,4,4,Wallet,Online,New
100152,2024-10-03 19:02:00,C3645,B010,Sheikh Zayed,Giza,P037,Protein Bar 50g,Health,Protein,1,40,40,22,18,Cash,Store,Returning
100153,2024-09-16 15:07:00,C2459,B009,6th of October City,Giza,P006,Olive Oil 500ml,Oils,Olive,1,220,220,140,80,Cash,Store,Returning
100154,2024-10-19 13:53:00,C2796,B011,Maadi 2,Cairo,P020,Dates Medjool 500g,Dry Fruits,Dates,1,140,140,85,55,Cash,Store,Returning
100155,2024-05-24 10:01:00,C1232,B006,Nasr City,Cairo,P026,Chocolate 100g,Confectionery,Chocolate,1,35,35,20,15,Visa,Store,New
100156,2024-07-27 22:41:00,C1726,B006,Nasr City,Cairo,P021,Walnuts 200g,Nuts,Roasted,1,95,95,60,35,Visa,Online,New
100157,2024-11-14 08:10:00,C3925,B006,Nasr City,Cairo,P019,Cinnamon 50g,Spices,Spice,2,48,96,56,40,Cash,Online,Returning
100158,2024-10-29 08:06:00,C4087,B010,Sheikh Zayed,Giza,P035,Tahini 400g,Grocery,Condiment,1,120,120,72,48,Cash,Store,Returning
100159,2024-09-17 20:37:00,C2775,B012,City Stars,Cairo,P021,Walnuts 200g,Nuts,Roasted,2,95,190,120,70,Cash,Store,Returning
100160,2024-10-25 08:42:00,C3456,B012,City Stars,Cairo,P009,Sugar 1kg,Grocery,Baking,1,40,40,22,18,Cash,Store,Returning
100161,2024-11-28 09:04:00,C2313,B004,Mall of Arabia - 6th October,Giza,P034,Ginger Powder 100g,Spices,Powder,1,45,45,25,20,Visa,Online,Returning
100162,2024-11-18 16:46:00,C1568,B007,Zamalek,Cairo,P011,Pasta 500g,Grocery,Pasta,1,35,35,18,17,Visa,Store,New
100163,2024-09-27 20:03:00,C2966,B010,Sheikh Zayed,Giza,P012,Tomato Paste 400g,Grocery,Canned,2,28,56,30,26,Visa,Store,New
100164,2024-08-13 13:17:00,C4202,B004,Mall of Arabia - 6th October,Giza,P030,Yogurt 170g,Dairy,Yogurt,1,18,18,10,8,Wallet,Store,Returning
100165,2024-05-04 13:15:00,C2770,B006,Nasr City,Cairo,P024,Biscuits 200g,Snacks,Biscuit,2,30,60,32,28,Cash,Store,New
100166,2024-02-29 19:15:00,C4413,B008,Dokki,Giza,P029,Vinegar 500ml,Grocery,Condiment,2,28,56,32,24,Visa,Online,Returning
100167,2024-07-04 09:22:00,C2798,B009,6th of October City,Giza,P024,Biscuits 200g,Snacks,Biscuit,1,30,30,16,14,Visa,Online,Returning
100168,2024-11-30 15:38:00,C3768,B004,Mall of Arabia - 6th October,Giza,P024,Biscuits 200g,Snacks,Biscuit,1,30,30,16,14,Cash,Store,Returning
100169,2024-10-18 21:52:00,C2407,B003,New Cairo (Waterway),Cairo,P037,Protein Bar 50g,Health,Protein,1,40,40,22,18,Wallet,Store,Returning
100170,2024-07-27 18:37:00,C2627,B011,Maadi 2,Cairo,P005,Instant Coffee 200g,Coffee,Instant,2,95,190,90,100,Cash,Store,Returning
100171,2024-05-26 13:20:00,C4133,B002,Mohandeseen,Giza,P029,Vinegar 500ml,Grocery,Condiment,1,28,28,16,12,Cash,Store,Returning
100172,2024-03-16 17:31:00,C4222,B011,Maadi 2,Cairo,P011,Pasta 500g,Grocery,Pasta,1,35,35,18,17,Wallet,Store,New
100173,2024-04-02 22:29:00,C2115,B001,Maadi 1,Cairo,P002,Pistachio 200g,Nuts,Salted,3,120,360,225,135,Cash,Store,New
100174,2024-10-10 19:59:00,C2586,B008,Dokki,Giza,P039,Cooking Spray 200ml,Household,Cooking,2,65,130,72,58,Visa,Store,Returning
100175,2024-01-18 21:27:00,C2124,B001,Maadi 1,Cairo,P028,Mayonnaise 400g,Grocery,Condiment,1,65,65,38,27,Visa,Online,New
100176,2024-03-08 16:55:00,C3537,B009,6th of October City,Giza,P018,Black Pepper 50g,Spices,Pepper,1,55,55,30,25,Wallet,Online,Returning
